marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,24509695,R3VR960AHLFKDV,B004HB5E0E,488241329,Shoal Creek Computer Desk,Furniture,4,0,0,N,Y,"... desk is very study and it i has a beautiful finish, I think that it a just a ...","This desk is very study and it i has  a beautiful finish,  I think that it a just a little  pricey for the size.",8/31/2015
US,34731776,R16LGVMFKIUT0G,B0042TNMMS,205864445,Dorel Home Products Delaney Large Rectangular Ottoman,Furniture,5,0,0,N,Y,Five Stars,Great item,8/31/2015
US,1272331,R1AIMEEPYHMOE4,B0030MPBZ4,124663823,Bathroom Vanity Table Jewelry Makeup Desk Bench Drawer Hair Dressing Organizer,Furniture,5,1,1,N,Y,Five Stars,"Perfect fit for my bedroom, been wanting one since I was a little girl",8/31/2015
US,45284262,R1892CCSZWZ9SR,B005G02ESA,382367578,Sleep Master Ultima Comfort Memory Foam 6 Inch Mattress,Furniture,3,0,0,N,Y,Good enough,"We use this on a trundle bed.  So, it does not get that much use.  This was a much better choice than getting a low end spring mattress for the same price.  I do not think I would use this on anything other than a trundle.",8/31/2015
US,30003523,R285P679YWVKD1,B005JS8AUA,309497463,"1 1/4"" GashGuards: Deluxe Rubberized Plastic Bed Frame End Caps, Set of 2",Furniture,3,0,0,N,N,Gash Gards for daybed,The product is fine...just seemed like it took awhile in the mail for something small you could throw in an envelope and mail.  Not unhappy just moderately satisfied.,8/31/2015
US,18311821,RLB33HJBXHZHU,B00AVUQQGQ,574537906,Serta Bonded Leather Big & Tall Executive Chair,Furniture,5,0,0,N,Y,Five Stars,"Love this product, amazing delivery, thank you",8/31/2015
US,42943632,R1VGTZ94DBAD6A,B00CFY20GQ,407473883,Prepac Shoe Storage Cubbie Bench,Furniture,5,2,2,N,Y,I love this bench,"I love this bench, had one in Black for over five years, and moved it more than 5 times to different houses after a few chips and broken pieces, I decided to buy the White one as it matches our current home decor better, plus it is much easier to locate shoes especially black ones! the black cubbie bench was too dark, and most of our shoes blended in and hard to see. This is perfect. Easy to put together. I painted the back white as well, as it was going in an area with the all sides shown.",8/31/2015
US,43157304,R168KF82ICSOHD,B00FKC48QA,435120460,HomCom PU Leather Storage Bench Ottoman w/ 4 Trays - Brown,Furniture,5,0,0,N,Y,Great storage capacity,Have had this for over a year.  Very well made and durable!  Great storage capacity.,8/31/2015
US,51918480,R20DIYIJ0OCMOG,B00N9IAL9K,356495985,Folding Step Stool,Furniture,5,0,0,N,Y,This is the best step stool I have ever used,This is the best step stool I have ever used.  So compact when collapsed so is very easy to store.. no hidden latches.  Have already recommended to friends.,8/31/2015
US,14522766,RD46RNVOHNZSC,B001T4XU1C,243050228,Ace Bayou Adult Video Rocker,Furniture,5,0,0,N,Y,great for price!,my son loves it!,8/31/2015
US,43054112,R2JDOCETTM3AXS,B002HRFLBC,93574483,"4D Concepts Audio Entertainment Stand, Cherry",Furniture,5,0,0,N,Y,Five Stars,Great product,8/31/2015
US,26622950,R33YMW36IDZ6LE,B006MISZOC,941823468,"Zinus SC-SBBK-14NT-FR Smartbase Bed Frame Metal, Narrow Twin",Furniture,5,0,0,N,Y,perfect,bought with sleep contour 8&#34; foam. arrived ontime and my kid had no trouble assembling it. shipped it to his off campus apt.. he says its most comfortable bed hes ever owned!,8/31/2015
US,17988940,R30ZGGUHZ04C1S,B008BMGABC,460567746,"Poundex Marble Dining Table, 4 Counter Height Chairs",Furniture,5,1,1,N,Y,Very satisfied!!!,Delivery was on time. I was very satisfied with the product. The table is very sturdy and it exceeds my expectations!,8/31/2015
US,18444952,RS2EZU76IK2BT,B00CO2VH5Y,829613894,"Safavieh Lyndhurst Collection LNH312B Traditional Oriental Light Blue and Ivory Area Rug (5'3"" x 7'6"")",Furniture,5,0,0,N,Y,soft and great for in front of a sofa,"Exactly as pictured. Plush, soft and great for in front of a sofa.",8/31/2015
US,16937084,R1GJC1BP028XO9,B00LI4RJQ0,816478187,Sauder Boone Mountain Coffee Table,Furniture,5,2,3,N,Y,Great table.,"Beautiful table.  It's good quality and heavy.  Put it together by myself, it took about 3 hours, but the instructions were the best and clearest of any item I've had to build.  I was worried because it looked like there was a crack in the top of the table itself until I looked closer - that's how good the laminate is, it REALLY looks real.  Love it and would purchase again.",8/31/2015
US,23665632,R2VKJPGXXEK5GP,B0046EC1D0,358594389,Winsome Wood Breakfast Bed Tray with Handle Foldable Legs,Furniture,1,0,0,N,Y,Not what I expected in a bed tray or lap tray,"I have cleaned up the last mess from using this tray, the legs collapsed again. It was also much larger and bulkier than I wanted.<br />But if your looking for a big tray without a lot of support this is the one.",8/31/2015
US,4110125,R17KS83G3KLT97,B00DQQPL36,312571325,HODEDAH IMPORT Metal Bed,Furniture,3,0,0,N,Y,Three Stars,First one came in damaged. Ok bed for the price.,8/31/2015
US,107621,R3PQL8SR4NEHWL,B003X7RWB2,402665054,Flash Furniture Hercules Series 800-Pound Premium Plastic Folding Chair,Furniture,4,0,0,N,Y,Four Stars,Good deal to get a nice chair for study in a low price,8/31/2015
US,2415090,R2F5WW7WNO5RRG,B001TJYPJ8,854989315,Sleep Revolution Better Than a Box Spring - Queen,Furniture,5,0,0,N,Y,Five Stars,Comfortable and easy to fix...,8/31/2015
US,48285966,R3UDJKVWQCFIC9,B000TMHX9A,814079288,Flash Furniture Vibrant Apple Green Tractor Seat and Chrome Stool,Furniture,5,0,0,N,Y,Very comfortable. Great color,As advertised. Very comfortable. Great color. Prompt delivery.,8/31/2015
US,33228559,R1MLGVJH3J5W6N,B005MZBB2O,523675277,Amelia Floral Muti Contemporary Rug,Furniture,5,0,0,N,Y,Wonderful rug,Very nice rug for a reasonable price. Exceeded my expectations.,8/31/2015
US,11600823,R38JYICG7ESAZP,B00JITHL9C,403803724,"Classic Brands Low Profile Foundation Box Spring, 4-Inch",Furniture,5,3,3,N,Y,Good USA made product.,"Product was as described. Delivered on time. Overall a sturdy box spring. Not at all difficult to put together. We bought Mom a tall foam mattress from Costco. With this low profile box spring my Mother has no problems get in and out of bed now. Also good quality materials for the price, which wasn't bad either. I recommend and will purchase again if needed.",8/31/2015
US,20252477,R3SMFDAWU2V153,B003HEPHUE,735341854,Etna Sofa Side Table (Black),Furniture,3,0,0,N,Y,Three Stars,Functional but too lightweight - I ordered 2 and attached them together,8/31/2015
US,12546512,R2OM7LJ7CY084O,B007EEG7M0,336731383,"Range Kleen SS2 Double Step Stool, Gray",Furniture,5,0,1,N,Y,Five Stars,I love these stools. Perfect for a toddler. I had to order another one,8/31/2015
US,5395378,R1ZG4UWGK123C3,B004LQ1RJ2,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,5,0,0,N,Y,Five Stars,so comfortable!,8/31/2015
US,34857314,R1ZOEOSEMAITN6,B000RPVKPC,269111919,Coaster Home Furnishings  5 Piece Modern Transitional Square Counter Height Dining Set - Cappuccino,Furniture,5,0,0,N,Y,Five Stars,Love it!! Easy assembly and nice quality.  Great table for the price.,8/31/2015
US,26511421,R38HR07J1KN5TE,B009QDA1LA,119886213,Universal Bed Slats Center Support System Adjustable Tubular Steel with 4 Legs,Furniture,5,0,0,N,Y,Very sturdy,"These rescued  my son's bed from the floor. Was easy to install and has legs for support, wooden slats did not. Very happy! Thank you",8/31/2015
US,16003911,R2H0KEDDT8GYB,B0063GICPU,222554214,Air Dream Replacement Air Chamber Full,Furniture,5,0,0,N,Y,Five Stars,Replacement for the one in RV that had a blow out. Husband loves this air mattress.,8/31/2015
US,53046326,R1ACBDB2E2K2VQ,B00H8I4C0Q,307258068,"DHP 3246198 Bombay Metal Bed, Full, White",Furniture,2,1,1,N,Y,Not for every day use. Support leg underneath bent ...,Not for every day use. Support leg underneath bent in just a few weeks with a normal sized teenager. Maybe okay for a small child.,8/31/2015
US,28540301,R2JXCWADAWWAUJ,B00R6OX5MS,63984799,Sleep Master BiFold Box Spring Folding Mattress Foundation,Furniture,1,1,4,N,Y,One Star,Saggy mattress,8/31/2015
US,52982007,R3F3L13BN326E1,B00M0O4GAO,183101067,"Flex Form Lucia Platform Bed, Full",Furniture,5,1,1,N,Y,Very happy with this frame,This is a nice frame.  Fairly easy to set up and it looks very nice.,8/31/2015
US,12385500,RNBU6YSRIYWFN,B005A4OP8Y,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,5,0,0,N,Y,Finding this item on Amazon with Free Shipping was perfect! Easy to get upstair and unwrapped - The ...,Since I do not own a truck I contemplated how to get a queen size mattress home which my daughter needed for her new bed frame. Finding this item on Amazon with Free Shipping was perfect! Easy to get upstair and unwrapped - The mattress comfort is excellent and the price could not be beat anywhere in my town - Best Purchase Ever!,8/31/2015
US,15775828,RNFD1XU24UJSE,B00SA6DT36,111245804,Red Color Modern Circles Design Area Rug,Furniture,3,0,0,N,Y,not as cushion-y as I would have liked but it's okay,"It's the right size but the padding is really thin, not as cushion-y as I would have liked but it's okay.",8/31/2015
US,6851307,R3KMK2518BXF1A,B00166DUSG,226363481,Walker Edison Soreno 3-Piece Corner Desk,Furniture,5,0,0,N,Y,Great buy!!,Absolute steal!! This desk is very cheap and is so awesome! I love it already! It is a great use of space!,8/31/2015
US,15227445,R1S6KLPH4K9TV8,B000M5QW96,160443433,Jewel Tone Red Southwestern Rug,Furniture,1,2,2,N,Y,but the center image was well off-center and looked pretty awful.,"Not only did the design not match the photo, but the center image was well off-center and looked pretty awful.",8/31/2015
US,27465660,R3E9HAPICMCC96,B001G0NNX4,67553280,"South Shore Furniture, Little Treasures Collection, Night Table, Country Pine",Furniture,4,1,1,N,Y,... forever to put together for small table but I love the look of it,"This took forever to put together for small table but I love the look of it. One of the holes wasn't pre-drilled so that was a little of a challenge but I made it work. We bought the set (headboard, night stand, dresser) for my sons room and am very happy with the purchase.",8/31/2015
US,7502102,R1OKOOJ8161SDN,B004XYNDO4,933322315,"Winsome Wood Assembled 30-Inch Swivel Stools, Set of 2",Furniture,2,0,0,N,Y,Two Stars,"Very uncomfortable, hurt my butt and edge cuts into your hamstring after sitting on them for a few minutes.",8/31/2015
US,42392807,RX462TJGGWPFC,B004773CLQ,782788746,SEI Navarra Wall Mount Wine Rack,Furniture,1,0,1,N,Y,One Star,Very low quality. Ordered two and both had dings and dents. Pore packaging and thin metal. Returned both.,8/31/2015
US,10949798,R2DMFLPCQ217O4,B00FA7RO16,236744938,Liora Manne Water Whimsy Sea Maid Rug,Furniture,5,1,1,N,Y,Five Stars,Gift for granddaughter ~ she has it at entrance to her bedroom....loves it!,8/31/2015
US,15976009,R2AA2VTIZHDSR4,B005A4OP8Y,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,5,0,0,N,Y,Comfortable and affordable,"Great affordable firm, but comfortable mattress",8/31/2015
US,325884,R2HRECN4UIO8OV,B005HSGQT4,898748170,Coaster Furniture Cappuccino and Glass Accent Table,Furniture,5,0,0,N,Y,Five Stars,Great table!! Liked it so much I bought a second one!!,8/31/2015
US,20833625,R2V5FJQ2ELK9VW,B004LQ1RGA,640532885,"DHP 6 inch Coil Futon Mattress with CertiPUR-US certified foam, Merlot",Furniture,5,0,0,N,Y,Best futon mattress I have ever used,Best futon mattress I have ever used. No feeling the bars or slats through this. I did buy a cover for it as it seemed like it would pick up lint/dust very easily and my cats like to scratch.,8/31/2015
